"","year_Birth","Income","kids","Recency","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp1","Response"
"1",1970,84835,0,0,1,4,4,6,1,0,1
"2",1961,57091,0,0,1,7,3,7,5,1,1
"3",1958,67267,1,0,1,3,2,5,2,0,0
"4",1967,32474,2,0,1,1,0,2,7,0,0
"5",1989,21474,1,0,2,3,1,2,7,1,1
"6",1958,71691,0,0,1,4,7,5,2,0,1
"7",1954,63564,0,0,1,10,10,7,6,1,1
"8",1967,44931,1,0,1,2,1,3,5,0,0
"9",1954,65324,1,0,3,6,2,9,4,0,0
"10",1954,65324,1,0,3,6,2,9,4,0,0
"11",1947,81044,0,0,1,5,6,10,1,0,0
"12",1979,62499,1,0,2,3,1,6,4,0,0
"13",1959,67786,0,0,1,3,6,6,1,0,1
"14",1981,26872,0,0,1,1,1,2,6,0,0
"15",1969,4428,1,0,0,25,0,0,1,0,0
"16",1977,54809,2,0,4,2,1,5,4,0,0
"17",1977,54809,2,0,4,2,1,5,4,0,1
"18",1958,32173,1,0,1,1,0,3,4,0,0
"19",1960,47823,1,0,2,2,0,3,8,0,0
"20",1958,30523,3,0,1,1,0,2,7,0,0
"21",1954,36634,1,0,3,5,2,5,7,0,0
"22",1966,43456,1,0,3,5,1,8,5,0,0
"23",1979,40662,1,0,2,2,1,3,4,0,0
"24",1976,49544,1,0,2,5,1,8,7,0,0
"25",1969,57731,1,0,4,8,8,6,6,0,0
"26",1965,33168,1,0,3,2,1,4,7,0,0
"27",1956,54450,2,0,12,9,2,8,8,0,0
"28",1956,54450,2,0,12,9,2,8,8,0,0
"29",1956,35340,2,1,2,2,0,3,5,0,0
"30",1975,73170,0,1,1,5,4,6,2,0,0
"31",1971,65808,2,1,3,5,1,5,6,0,0
"32",1986,79529,0,1,1,4,8,9,2,0,0
"33",1972,34578,3,1,1,1,0,2,6,0,0
"34",1974,46374,1,1,3,7,1,7,8,2,1
"35",1990,18351,0,1,1,2,0,3,7,0,0
"36",1987,95169,0,1,1,4,3,4,1,2,1
"37",1984,65370,0,1,1,2,3,13,1,0,0
"38",1960,39228,0,1,1,0,0,3,4,0,0
"39",1961,84865,0,1,1,2,4,9,4,4,1
"40",1968,61314,1,1,2,5,5,12,3,0,0
"41",1972,21359,1,1,2,2,0,3,8,0,1
"42",1955,66465,1,1,3,11,9,12,6,1,0
"43",1983,81698,0,1,1,8,2,5,5,1,1
"44",1986,39146,1,1,3,4,0,4,8,0,0
"45",1970,25959,2,1,2,1,2,2,6,0,1
"46",1961,64260,0,1,1,4,5,4,3,0,1
"47",1973,32300,1,1,1,1,0,3,8,0,0
